sample,bwtfile,threshold
129S1_M157,/proj/mcmillanlab/data/BWTs/129S1_M157,1
129S1_Sanger,/proj/mcmillanlab/data/BWTs/129S1_Sanger,1
AJ_F321,/proj/mcmillanlab/data/BWTs/AJ_F321,1
AJ_Sanger,/proj/mcmillanlab/data/BWTs/AJ_Sanger,1
C57BL6J_A2F,/proj/mcmillanlab/data/BWTs/C57BL6J_A2F,1
C57BL6J_m003636A,/proj/mcmillanlab/data/BWTs/C57BL6J_m003636A,1
CAST_M090,/proj/mcmillanlab/data/BWTs/CAST_M090,1
CAST_Sanger,/proj/mcmillanlab/data/BWTs/CAST_Sanger,1
CC001M4363_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC001M4363_UNC_NYGC,1
CC002M4575_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC002M4575_UNC_NYGC,1
CC003M4601_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC003M4601_UNC_NYGC,1
CC004M4292_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC004M4292_UNC_NYGC,1
CC005M4714_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC005M4714_UNC_NYGC,1
CC006M4698_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC006M4698_UNC_NYGC,1
CC007M3406_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC007M3406_UNC_NYGC,1
CC008M983_UNC_UNC,/proj/mcmillanlab/data/BWTs/CC008M983_UNC_UNC,1
CC009M3045_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC009M3045_UNC_NYGC,1
CC010M3518_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC010M3518_UNC_NYGC,1
CC011M3070_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC011M3070_UNC_NYGC,1
CC012M1359_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC012M1359_UNC_NYGC,1
CC013M1075_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC013M1075_UNC_NYGC,1
CC015M1649_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC015M1649_UNC_NYGC,1
CC016M1077_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC016M1077_UNC_NYGC,1
CC017M1453_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC017M1453_UNC_NYGC,1
CC018M1136_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC018M1136_UNC_NYGC,1
CC020M533_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC020M533_UNC_NYGC,1
CC021M1515_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC021M1515_UNC_NYGC,1
CC022M444_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC022M444_UNC_NYGC,1
CC023M704_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC023M704_UNC_NYGC,1
CC024M1060_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC024M1060_UNC_NYGC,1
CC025M1062_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC025M1062_UNC_NYGC,1
CC026M3004_UNC_UNC,/proj/mcmillanlab/data/BWTs/CC026M3004_UNC_UNC,1
CC027M756_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC027M756_UNC_NYGC,1
CC028M899_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC028M899_UNC_NYGC,1
CC029M720_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC029M720_UNC_NYGC,1
CC030M1011_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC030M1011_UNC_NYGC,1
CC031M411_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC031M411_UNC_NYGC,1
CC032M1247_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC032M1247_UNC_NYGC,1
CC033M571_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC033M571_UNC_NYGC,1
CC034M734_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC034M734_UNC_NYGC,1
CC035M1489_UNC_UNC,/proj/mcmillanlab/data/BWTs/CC035M1489_UNC_UNC,1
CC036M819_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC036M819_UNC_NYGC,1
CC037M955_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC037M955_UNC_NYGC,1
CC038M806_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC038M806_UNC_NYGC,1
CC040M4198_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC040M4198_UNC_NYGC,1
CC041M5135_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC041M5135_UNC_NYGC,1
CC042M4068_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC042M4068_UNC_NYGC,1
CC043M797_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC043M797_UNC_NYGC,1
CC044M1328_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC044M1328_UNC_NYGC,1
CC045M817_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC045M817_UNC_NYGC,1
CC046M1016_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC046M1016_UNC_NYGC,1
CC047M1079_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC047M1079_UNC_NYGC,1
CC050M1820_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC050M1820_UNC_NYGC,1
CC051M6059_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC051M6059_UNC_NYGC,1
CC052M675_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC052M675_UNC_NYGC,1
CC053M907_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC053M907_UNC_NYGC,1
CC055M3799_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC055M3799_UNC_NYGC,1
CC056M534_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC056M534_UNC_NYGC,1
CC057M750_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC057M750_UNC_NYGC,1
CC058M773_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC058M773_UNC_NYGC,1
CC059M4642_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC059M4642_UNC_NYGC,1
CC060M813_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC060M813_UNC_NYGC,1
CC061M887_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC061M887_UNC_NYGC,1
CC062M733_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC062M733_UNC_NYGC,1
CC063M615_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC063M615_UNC_NYGC,1
CC065M3566_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC065M3566_UNC_NYGC,1
CC068M3696_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC068M3696_UNC_NYGC,1
CC070M3849_UNC_UNC,/proj/mcmillanlab/data/BWTs/CC070M3849_UNC_UNC,1
CC071M3425_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC071M3425_UNC_NYGC,1
CC072M3054_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC072M3054_UNC_NYGC,1
CC073M796_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC073M796_UNC_NYGC,1
CC074M495_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC074M495_UNC_NYGC,1
CC075M516_UNC_NYGC,/proj/mcmillanlab/data/BWTs/CC075M516_UNC_NYGC,1
CC076M508_UNC_UNC,/proj/mcmillanlab/data/BWTs/CC076M508_UNC_UNC,1
CC078M1502_UNC_UNC,/proj/mcmillanlab/data/BWTs/CC078M1502_UNC_UNC,1
CC079M1086_UNC_UNC,/proj/mcmillanlab/data/BWTs/CC079M1086_UNC_UNC,1
CC080M1283_UNC_UNC,/proj/mcmillanlab/data/BWTs/CC080M1283_UNC_UNC,1
CC082M0505_UNC_UNC,/proj/mcmillanlab/data/BWTs/CC082M0505_UNC_UNC,1
CC083M3234_UNC_UNC,/proj/mcmillanlab/data/BWTs/CC083M3234_UNC_UNC,1
NOD_M146,/proj/mcmillanlab/data/BWTs/NOD_M146,1
NOD_Sanger,/proj/mcmillanlab/data/BWTs/NOD_Sanger,1
NZO_FNNN,/proj/mcmillanlab/data/BWTs/NZO_FNNN,1
NZO_Sanger,/proj/mcmillanlab/data/BWTs/NZO_Sanger,1
PWK_F6114,/proj/mcmillanlab/data/BWTs/PWK_F6114,1
PWK_Sanger,/proj/mcmillanlab/data/BWTs/PWK_Sanger,1
WSB_FNNN,/proj/mcmillanlab/data/BWTs/WSB_FNNN,1
WSB_Sanger,/proj/mcmillanlab/data/BWTs/WSB_Sanger,1